2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=11: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=13: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=15: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=16: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=25: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=27: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=30: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=36: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=37: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=38: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=39: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=40: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=41: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=44: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=53: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=54: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=57: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=65: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=66: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=68: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=73: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=75: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=76: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Validace lokací dokončena: 126 validních z 126, 0 duplicit, 29 anomálií
2026-03-09 17:09:17 | INFO     | validator | Množina validních ID lokací: 126 záznamů
2026-03-09 17:09:17 | INFO     | validator | Zahájení validace 660 postav
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=7: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=13: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=13: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=14: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=15: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=19: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=19 (Antenna Rick): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=20: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=21: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=22: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=23: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=25: pole 'species' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=30 (Baby Poopybutthole): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=35: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=36: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=36 (Beta-Seven): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=42: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=46: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=46 (Bill): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=49: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=53: pole 'status' obsahuje 'unknown' hodnotu
